"","symbol","date","open","high","low","close","volume","adjusted"
"1","^GSPC",2011-01-03,1257.619995,1276.170044,1257.619995,1271.869995,4286670000,1271.869995
"2","^GSPC",2011-01-04,1272.949951,1274.119995,1262.660034,1270.199951,4796420000,1270.199951
"3","^GSPC",2011-01-05,1268.780029,1277.630005,1265.359985,1276.560059,4764920000,1276.560059
"4","^GSPC",2011-01-06,1276.290039,1278.170044,1270.430054,1273.849976,4844100000,1273.849976
"5","^GSPC",2011-01-07,1274.410034,1276.829956,1261.699951,1271.5,4963110000,1271.5
"6","^GSPC",2011-01-10,1270.839966,1271.52002,1262.180054,1269.75,4036450000,1269.75
"7","^GSPC",2011-01-11,1272.579956,1277.25,1269.619995,1274.47998,4050750000,1274.47998
"8","^GSPC",2011-01-12,1275.650024,1286.869995,1275.650024,1285.959961,4226940000,1285.959961
"9","^GSPC",2011-01-13,1285.780029,1286.699951,1280.469971,1283.76001,4310840000,1283.76001
"10","^GSPC",2011-01-14,1282.900024,1293.23999,1281.23999,1293.23999,4661590000,1293.23999
"11","^GSPC",2011-01-18,1293.219971,1296.060059,1290.160034,1295.02002,5284990000,1295.02002
"12","^GSPC",2011-01-19,1294.52002,1294.599976,1278.920044,1281.920044,4743710000,1281.920044
"13","^GSPC",2011-01-20,1280.849976,1283.349976,1271.26001,1280.26001,4935320000,1280.26001
"14","^GSPC",2011-01-21,1283.630005,1291.209961,1282.069946,1283.349976,4935320000,1283.349976
"15","^GSPC",2011-01-24,1283.290039,1291.930054,1282.469971,1290.839966,3902470000,1290.839966
"16","^GSPC",2011-01-25,1288.170044,1291.26001,1281.069946,1291.180054,4595380000,1291.180054
"17","^GSPC",2011-01-26,1291.969971,1299.73999,1291.969971,1296.630005,4730980000,1296.630005
"18","^GSPC",2011-01-27,1297.51001,1301.290039,1294.410034,1299.540039,4309190000,1299.540039
"19","^GSPC",2011-01-28,1299.630005,1302.670044,1275.099976,1276.339966,5618630000,1276.339966
"20","^GSPC",2011-01-31,1276.5,1287.170044,1276.5,1286.119995,4167160000,1286.119995
"21","^GSPC",2011-02-01,1289.140015,1308.859985,1289.140015,1307.589966,5164500000,1307.589966
"22","^GSPC",2011-02-02,1305.910034,1307.609985,1302.619995,1304.030029,4098260000,1304.030029
"23","^GSPC",2011-02-03,1302.77002,1308.599976,1294.829956,1307.099976,4370990000,1307.099976
"24","^GSPC",2011-02-04,1307.01001,1311,1301.670044,1310.869995,3925950000,1310.869995
"25","^GSPC",2011-02-07,1311.849976,1322.849976,1311.849976,1319.050049,3902270000,1319.050049
"26","^GSPC",2011-02-08,1318.76001,1324.869995,1316.030029,1324.569946,3881530000,1324.569946
"27","^GSPC",2011-02-09,1322.47998,1324.540039,1314.890015,1320.880005,3922240000,1320.880005
"28","^GSPC",2011-02-10,1318.130005,1322.780029,1311.73999,1321.869995,4184610000,1321.869995
"29","^GSPC",2011-02-11,1318.660034,1330.790039,1316.079956,1329.150024,4219300000,1329.150024
"30","^GSPC",2011-02-14,1328.72998,1332.959961,1326.900024,1332.319946,3567040000,1332.319946
"31","^GSPC",2011-02-15,1330.430054,1330.430054,1324.609985,1328.01001,3926860000,1328.01001
"32","^GSPC",2011-02-16,1329.51001,1337.609985,1329.51001,1336.319946,1966450000,1336.319946
"33","^GSPC",2011-02-17,1334.369995,1341.5,1331,1340.430054,1966450000,1340.430054
"34","^GSPC",2011-02-18,1340.380005,1344.069946,1338.119995,1343.01001,1162310000,1343.01001
"35","^GSPC",2011-02-22,1338.910034,1338.910034,1312.329956,1315.439941,1322780000,1315.439941
"36","^GSPC",2011-02-23,1315.439941,1317.910034,1299.550049,1307.400024,1330340000,1307.400024
"37","^GSPC",2011-02-24,1307.089966,1310.910034,1294.26001,1306.099976,1222900000,1306.099976
"38","^GSPC",2011-02-25,1307.339966,1320.609985,1307.339966,1319.880005,3836030000,1319.880005
"39","^GSPC",2011-02-28,1321.609985,1329.380005,1320.550049,1327.219971,1252850000,1327.219971
"40","^GSPC",2011-03-01,1328.640015,1332.089966,1306.140015,1306.329956,1180420000,1306.329956
"41","^GSPC",2011-03-02,1305.469971,1314.189941,1302.579956,1308.439941,1.025e+09,1308.439941
"42","^GSPC",2011-03-03,1312.369995,1332.280029,1312.369995,1330.969971,4340470000,1330.969971
"43","^GSPC",2011-03-04,1330.72998,1331.079956,1312.589966,1321.150024,4223740000,1321.150024
"44","^GSPC",2011-03-07,1322.719971,1327.680054,1303.98999,1310.130005,3964730000,1310.130005
"45","^GSPC",2011-03-08,1311.050049,1325.73999,1306.859985,1321.819946,4531420000,1321.819946
"46","^GSPC",2011-03-09,1319.920044,1323.209961,1312.27002,1320.02002,3709520000,1320.02002
"47","^GSPC",2011-03-10,1315.719971,1315.719971,1294.209961,1295.109985,4723020000,1295.109985
"48","^GSPC",2011-03-11,1293.430054,1308.349976,1291.98999,1304.280029,3740400000,1304.280029
"49","^GSPC",2011-03-14,1301.189941,1301.189941,1286.369995,1296.390015,4050370000,1296.390015
"50","^GSPC",2011-03-15,1288.459961,1288.459961,1261.119995,1281.869995,5201400000,1281.869995
"51","^GSPC",2011-03-16,1279.459961,1280.910034,1249.050049,1256.880005,5.833e+09,1256.880005
"52","^GSPC",2011-03-17,1261.609985,1278.880005,1261.609985,1273.719971,4134950000,1273.719971
"53","^GSPC",2011-03-18,1276.709961,1288.880005,1276.180054,1279.209961,4685500000,1279.209961
"54","^GSPC",2011-03-21,1281.650024,1300.579956,1281.650024,1298.380005,4223730000,1298.380005
"55","^GSPC",2011-03-22,1298.290039,1299.349976,1292.699951,1293.77002,3576550000,1293.77002
"56","^GSPC",2011-03-23,1292.189941,1300.51001,1284.050049,1297.540039,3842350000,1297.540039
"57","^GSPC",2011-03-24,1300.609985,1311.339966,1297.73999,1309.660034,4223740000,1309.660034
"58","^GSPC",2011-03-25,1311.800049,1319.180054,1310.150024,1313.800049,4223740000,1313.800049
"59","^GSPC",2011-03-28,1315.449951,1319.73999,1310.189941,1310.189941,3215170000,1310.189941
"60","^GSPC",2011-03-29,1309.369995,1319.449951,1305.26001,1319.439941,3482580000,1319.439941
"61","^GSPC",2011-03-30,1321.890015,1331.73999,1321.890015,1328.26001,3809570000,1328.26001
"62","^GSPC",2011-03-31,1327.439941,1329.77002,1325.030029,1325.829956,3566270000,1325.829956
"63","^GSPC",2011-04-01,1329.47998,1337.849976,1328.890015,1332.410034,4223740000,1332.410034
"64","^GSPC",2011-04-04,1333.560059,1336.73999,1329.099976,1332.869995,4223740000,1332.869995
"65","^GSPC",2011-04-05,1332.030029,1338.209961,1330.030029,1332.630005,3852280000,1332.630005
"66","^GSPC",2011-04-06,1335.939941,1339.380005,1331.089966,1335.540039,4223740000,1335.540039
"67","^GSPC",2011-04-07,1334.819946,1338.800049,1326.560059,1333.51001,4005600000,1333.51001
"68","^GSPC",2011-04-08,1336.160034,1339.459961,1322.939941,1328.170044,3582810000,1328.170044
"69","^GSPC",2011-04-11,1329.01001,1333.77002,1321.060059,1324.459961,3478970000,1324.459961
"70","^GSPC",2011-04-12,1321.959961,1321.959961,1309.51001,1314.160034,4275490000,1314.160034
"71","^GSPC",2011-04-13,1314.030029,1321.349976,1309.189941,1314.410034,3850860000,1314.410034
"72","^GSPC",2011-04-14,1311.130005,1316.790039,1302.420044,1314.52002,3872630000,1314.52002
"73","^GSPC",2011-04-15,1314.540039,1322.880005,1313.680054,1319.680054,4223740000,1319.680054
"74","^GSPC",2011-04-18,1313.349976,1313.349976,1294.699951,1305.140015,4223740000,1305.140015
"75","^GSPC",2011-04-19,1305.98999,1312.699951,1303.969971,1312.619995,3886300000,1312.619995
"76","^GSPC",2011-04-20,1319.119995,1332.660034,1319.119995,1330.359985,4236280000,1330.359985
"77","^GSPC",2011-04-21,1333.22998,1337.48999,1332.829956,1337.380005,3587240000,1337.380005
"78","^GSPC",2011-04-25,1337.140015,1337.550049,1331.469971,1335.25,2142130000,1335.25
"79","^GSPC",2011-04-26,1336.75,1349.550049,1336.75,1347.23999,3908060000,1347.23999
"80","^GSPC",2011-04-27,1348.430054,1357.48999,1344.25,1355.660034,4051570000,1355.660034
"81","^GSPC",2011-04-28,1353.859985,1361.709961,1353.599976,1360.47998,4036820000,1360.47998
"82","^GSPC",2011-04-29,1360.140015,1364.560059,1358.689941,1363.609985,3479070000,1363.609985
"83","^GSPC",2011-05-02,1365.209961,1370.579956,1358.589966,1361.219971,3846250000,1361.219971
"84","^GSPC",2011-05-03,1359.76001,1360.839966,1349.52002,1356.619995,4223740000,1356.619995
"85","^GSPC",2011-05-04,1355.900024,1355.900024,1341.5,1347.319946,4223740000,1347.319946
"86","^GSPC",2011-05-05,1344.160034,1348,1329.170044,1335.099976,3846250000,1335.099976
"87","^GSPC",2011-05-06,1340.23999,1354.359985,1335.579956,1340.199951,4223740000,1340.199951
"88","^GSPC",2011-05-09,1340.199951,1349.439941,1338.640015,1346.290039,4265250000,1346.290039
"89","^GSPC",2011-05-10,1348.339966,1359.439941,1348.339966,1357.160034,4223740000,1357.160034
"90","^GSPC",2011-05-11,1354.51001,1354.51001,1336.359985,1342.079956,3846250000,1342.079956
"91","^GSPC",2011-05-12,1339.390015,1351.050049,1332.030029,1348.650024,3777210000,1348.650024
"92","^GSPC",2011-05-13,1348.689941,1350.469971,1333.359985,1337.77002,3426660000,1337.77002
"93","^GSPC",2011-05-16,1334.77002,1343.329956,1327.319946,1329.469971,3846250000,1329.469971
"94","^GSPC",2011-05-17,1326.099976,1330.420044,1318.51001,1328.97998,4053970000,1328.97998
